full_name,gender,certainty
Anthony Bagarozzi,m,1.0
Anthony Bell,m,1.0
Anthony Chau-Sang Wong,m,1.0
Anthony DiBlasi,m,1.0
Anthony Edwards,m,1.0
Anthony Frewin,m,1.0
Anthony Gonzalez,m,1.0
Anthony Hemingway,m,1.0
Anthony Hines,m,1.0
Anthony Hopkins,m,1.0
Anthony Jaswinski,m,1.0
Anthony LaPaglia,m,1.0
Anthony Mackie,m,1.0
Anthony Maras,m,1.0
Anthony McCarten,m,1.0
Anthony Minghella,m,1.0
Anthony Peckham,m,1.0
Anthony Rapp,m,1.0
Anthony Russo,m,1.0
Anthony Shaffer,m,1.0
Anthony Stacchi,m,1.0
Anthony Swofford,m,1.0
Anthony Tambakis,m,1.0
Anthony Weintraub,m,1.0
Anthony Yerkovich,m,1.0
Antoine Fuqua,m,0.99
Antoinette Terry Bryant,f,1.0
Anton Corbijn,m,0.99
Anton Lesser,m,0.99
Anton Yelchin,m,0.99
Antonia Campbell-Hughes,f,0.98
Antonia Clarke,f,0.98
Antonin Baudry,m,1.0
Antonio Banderas,m,0.99
Antonio Campos,m,0.99
Antonio Cupo,m,0.99
Antonio Skármeta,m,0.99
Antonio Trashorras,m,0.99
Antony Acker,m,0.99
Antony Hoffman,m,0.99
Antony Johnston,m,0.99
Antwone Fisher,m,0.99
Anubhav Sinha,m,1.0
Anupam Kher,m,0.99
Anurag Basu,m,1.0
Anurag Kashyap,m,1.0
Anushka Sharma,f,0.97
Anya Kochoff,f,0.98
Anya Taylor-Joy,f,0.98
Aoi Hiiragi,f,0.8
Aoi Miyazaki,f,0.8
Aoi Teshima,f,0.8
Apichatpong Weerasethakul,m,1.0
April Blair,f,0.99
Arash Amel,m,0.99
Arash Marandi,m,0.99
Arbaaz Khan,m,0.99
Archie Lal,m,0.95
Ardal O'Hanlon,m,0.94
Ari Aster,m,0.65
Ari Folman,m,0.65
Ari Handel,m,0.65
Ari Sandel,m,0.65
Ari Schlossberg,m,0.65
Ariane Fert,f,0.99
Ariel Levy,m,0.83
Ariel Schulman,m,0.83
Ariel Shaffir,m,0.83
Ariel Vromen,m,0.83
Arielle Kebbel,f,0.99
Arijit Biswas,m,1.0
Aris Servetalis,m,0.83
Arlene Klasky,f,1.0
Arlin Miller,f,0.63
Arly Jover,f,0.67
Armando Iannucci,m,0.99
Armie Hammer,f,0.93
Arnaldur Indriðason,m,1.0
Arnaud Bordas,m,0.99
Arnold Bucher,m,0.99
Arnold Oceng,m,0.99
Arnold Schwarzenegger,m,0.99
Arron Shiver,m,0.99
Arsher Ali,m,0.73
Art Marcum,m,0.97
Art Monterastelli,m,0.97
Art Parkinson,m,0.97
Arthur Golden,m,1.0
Arturo Infante,m,1.0
Artyom Bogucharskiy,m,1.0
Arun Prabhu Purushothaman,m,0.99
Asa Butterfield,m,0.62
Asger Leth,m,0.98
Asghar Farhadi,m,0.97
Ash Brannon,m,0.7
Ashleigh Powell,f,0.99
Ashley Bell,f,0.95
Ashley Bratcher,f,0.95
Ashley C. Williams,f,0.95
Ashley Eckstein,f,0.95
Ashley Judd,f,0.95
Ashley Miller,f,0.95
Ashley Olsen,f,0.95
Ashley Sommers,f,0.95
Ashlynn Yennie,f,1.0
Ashton Kutcher,m,0.71
Ashutosh Gowariker,m,1.0
Ashwin Gangaraju,m,1.0
Asia Argento,f,0.97
Astrid Bergès-Frisbey,f,0.99
Astro,m,0.81
Atom Egoyan,m,0.9
Atossa Leoni,f,1.0
Atsuko Tanaka,f,0.99
Aubrey Plaza,m,0.58
Audrey Niffenegger,f,0.99
Audrey Tautou,f,0.99
Audrey Wells,f,0.99
August Wilson,m,0.87
Augusten Burroughs,m,0.97
Auli'i Cravalho,f,1.0
Aurélien Recoing,m,1.0
Austin Bunn,m,0.99
Austin Butler,m,0.99
Austin Wright,m,0.99
Autumn de Wilde,f,0.99
Ava DuVernay,f,0.97
Ava Michelle,f,0.97
Avery Whitted,m,0.52
Avin Manshadi,f,0.54
Awkwafina,u,0.0
Aya Okamoto,f,0.96
Aya Ueto,f,0.96
Ayan Mukherjee,m,0.76
Ayane Sakura,f,0.93
Ayumi Itô,f,0.98
Ayushmann Khurrana,m,1.0
Azad Jafarian,m,0.97
Aziz Ansari,m,0.98
Babak Anvari,m,0.99
Babaloo Mandel,m,0.8
Bai Ling,m,0.52
Bailey Spry,f,0.61
Baki Davrak,m,0.97
Baltasar Kormákur,m,0.99
Banjong Pisanthanakun,m,0.7
Baran bo Odar,m,0.92
Barbara Alberti,f,1.0
Barbara Marshall,f,1.0
Barbara Muschietti,f,1.0
Barbara Sukowa,f,1.0
Barbra Streisand,f,0.99
Barnaby Thompson,m,1.0
Barney Clark,m,0.98
Barry Barnes,m,0.99
Barry Cassin,m,0.99
Barry Cook,m,0.99
Barry Crump,m,0.99
Barry G. Bernson,m,0.99
Barry Jenkins,m,0.99
Barry L. Levy,m,0.99
Barry Levinson,m,0.99
Barry O'Brien,m,0.99
Barry Pepper,m,0.99
Barry Sonnenfeld,m,0.99
Barry Watson,m,0.99
Barry Wernick,m,0.99
Bart Layton,m,1.0
Basharat Peer,m,0.97
Baz Luhrmann,m,0.94
Beanie Feldstein,f,0.57
Beau Bauman,m,0.92
Beau Gadsdon,m,0.92
Beau Thorne,m,0.92
Beau Willimon,m,0.92
Beckam Crawford,m,0.94
Becky Albertalli,f,1.0
Beeban Kidron,f,1.0
Bel Powley,f,0.56
Bella Camero,f,0.97
Bella Thorne,f,0.97
Belén Fabra,f,0.99
Belén Rueda,f,0.99
Ben Affleck,m,0.98
Ben Barnes,m,0.98
Ben Batt,m,0.98
Ben Best,m,0.98
Ben Burtt,m,0.98
Ben C. Lucas,m,0.98
Ben Chandler,m,0.98
Ben Coccio,m,0.98
Ben Court,m,0.98
Ben Epstein,m,0.98
Ben Falcone,m,0.98
Ben Feldman,m,0.98
Ben Foster,m,0.98
Ben Gluck,m,0.98
Ben Ketai,m,0.98
Ben Kingsley,m,0.98
Ben Lamb,m,0.98
Ben Lewin,m,0.98
Ben Livingston,m,0.98
Ben Mezrich,m,0.98
Ben O'Brien,m,0.98
Ben Palmer,m,0.98
Ben Queen,m,0.98
Ben Radcliffe,m,0.98
Ben Ripley,m,0.98
Ben Roberts,m,0.98
Ben Schnetzer,m,0.98
Ben Schwartz,m,0.98
Ben Stiller,m,0.98
Ben Wheatley,m,0.98
Ben Whishaw,m,0.98
Ben Wilkinson,m,0.98
Ben York Jones,m,0.98
Ben Younger,m,0.98
Ben Zook,m,0.98
Benedek Fliegauf,m,0.92
Benedict Cumberbatch,m,0.98
Benedict Fitzgerald,m,0.98
Benedict Wong,m,0.98
Benh Zeitlin,m,0.83
Benicio Del Toro,m,0.99
Benjamin Bratt,m,1.0
Benjamin Helstad,m,1.0
Benjamin Legrand,m,1.0
Benjamin Rocher,m,1.0
Benjamin Salisbury,m,1.0
Benjamin Walker,m,1.0
Benji Samit,m,0.97
Bennett Miller,m,0.94
Benny Boom,m,0.95
Benny Safdie,m,0.95
Benoît Poelvoorde,m,1.0
Bent Hamer,f,0.72
Bernadette Lafont,f,1.0
Bernardo Bertolucci,m,1.0
Bernd Eichinger,m,1.0
Bernd Lichtenberg,m,1.0
Bernhard Schlink,m,1.0
Bero Beyer,f,0.69
Bert V. Royal,m,0.99
Bertrand Tavernier,m,0.99
Beth Reekles,f,1.0
Beth Rigazio,f,1.0
Beth Toussaint,f,1.0
Betsy Morris,f,1.0
Bette Midler,f,0.99
Bettina Gilois,f,0.99
Betty Aberlin,f,0.99
Betty Gilpin,f,0.99
Betty Thomas,f,0.99
Beverly D'Onofrio,f,1.0
Beyoncé,f,0.93
Bharat Nalluri,m,0.99
Bianca Bradey,f,0.99
Bibi Naceri,f,0.79
Bibo Bergeron,m,0.78
Bilall Fallah,m,0.96
Bill Bailey,m,1.0
Bill Collage,m,1.0
Bill Condon,m,1.0
Bill Corbett,m,1.0
Bill Dubuque,m,1.0
Bill Hader,m,1.0
Bill Holderman,m,1.0
Bill Kelly,m,1.0
Bill Marsilii,m,1.0
Bill Milner,m,1.0
Bill Moseley,m,1.0
Bill Murray,m,1.0
Bill Nighy,m,1.0
