full_name,gender,certainty
Ruben Östlund,m,1.0
Sandro Petraglia,m,0.99
Nick Castle,m,0.99
Gregg Chabot,m,1.0
Josh Duhamel,m,1.0
Jon Voight,m,0.99
Kelly Reilly,f,0.91
Tom Courtenay,m,0.99
Megumi Okina,f,0.99
Patrick Lussier,m,1.0
Tony Goldwyn,m,0.99
David Wnendt,m,1.0
Gore Verbinski,m,0.57
Alessandro Nivola,m,1.0
Jay Mohr,m,0.97
Astro,m,0.81
Phra Sripariyattiweti,m,0.86
Sylvester Stallone,m,0.99
"David Bruckner, Dan Bush",m,1.0
Cormac McCarthy,m,1.0
Wayne Blair,m,1.0
Ayushmann Khurrana,m,1.0
Alexandra Bracken,f,0.99
Guillaume Gallienne,m,1.0
Randall Park,m,1.0
John Travolta,m,1.0
Morton S. Fine,m,0.99
Misan Sagay,m,0.52
Eric Aronson,m,1.0
Tony Gilroy,m,0.99
John Seabrook,m,1.0
Scott Mechlowicz,m,1.0
"Lasse Hallström, Joe Johnston",m,1.0
Garry Shandling,m,1.0
Garance Marillier,f,0.98
Charlie Pye Jr.,m,0.85
Willy Vlautin,m,0.92
Richard Naing,m,1.0
Megumi Hayashibara,f,0.99
Olivia Wilde,f,0.99
Alec Newman,m,0.97
Phil Alden Robinson,m,0.99
David Zabel,m,1.0
Donald E. Westlake,m,1.0
"George Miller, Gary Eck",m,0.99
Lee Daniels,m,0.75
Brad Rowe,m,1.0
Adam McKay,m,0.98
Moisés Acevedo,m,0.99
"Damon Beesley, Iain Morris",m,1.0
Irena Brignull,f,0.99
Frederick Lau,m,1.0
Takao Osawa,m,1.0
Theodore Melfi,m,0.99
Jody Savin,f,0.68
Hana Sugisaki,f,0.97
Scott Eastwood,m,1.0
Jennifer Derwingson,f,1.0
Wentworth Miller,m,0.97
Shia LaBeouf,f,0.65
Bill Paxton,m,1.0
Nicholas Martin,m,1.0
Emma Roberts,f,0.97
Mark Herman,m,1.0
Kristen Stewart,f,0.99
W. Earl Brown,m,0.88
Michael Seitzman,m,1.0
Jamie Travis,m,0.66
Richard Price,m,1.0
Christian Rivers,m,0.99
Cary Joji Fukunaga,m,0.55
Hussein Sami,m,0.99
Declan Lowney,m,1.0
Pascal Chaumeil,m,0.99
Prakash Kapadia,m,0.99
Catherine Walker,f,1.0
Colin Hanks,m,1.0
Ari Aster,m,0.65
Angie Thomas,f,0.99
Michael Nilon,m,1.0
Nate Atkins,m,0.97
Ayan Mukherjee,m,0.76
Joey King,m,0.8
Halsted Welles,m,1.0
Juston Street,m,1.0
Jeanne Duprau,f,0.99
Sam Schreiber,m,0.9
Victoria Strouse,f,0.99
Chris Santos,m,0.91
Eunice Cho,f,0.99
Seth Grahame-Smith,m,1.0
Jean-Pierre Dardenne,m,1.0
Chiwetel Ejiofor,f,0.67
Benedict Wong,m,0.98
Jason Sudeikis,m,1.0
Rosemary Sutcliff,f,1.0
Anna Faris,f,0.99
Leslie Phillips,f,0.83
Aki Kaurismäki,m,0.71
Justine Waddell,f,0.94
Beau Thorne,m,0.92
Robert Mazur,m,1.0
Sian Heder,f,0.92
Andrew Stanton,m,1.0
Nick Castle,m,0.99
David R. Ellis,m,1.0
Bill Condon,m,1.0
Fionn O'Shea,m,0.93
"Anthony Bell, Ben Gluck",m,1.0
Freddy Rodríguez,m,0.99
Austin Bunn,m,0.99
A.A. Milne,m,0.56
Bernardo Bertolucci,m,1.0
Meg Cabot,f,0.98
Monika Mitchell,f,0.99
Samantha Robinson,f,0.99
Queen Latifah,f,0.97
Jay Roach,m,0.97
J.H. Wyman,m,0.86
David Strathairn,m,1.0
Xavier Samuel,m,0.99
